Model Name,WER (%),CER (%),Inference Time (s),Dataset Used,Sample Size,# Params (M),Hugging Face Link,Last Updated,Notes,Hardware Info
m3hrdadfi/wav2vec2-large-xlsr-persian-v3,28.27,8.5,29s,hsekhalilian/fleurs validation,369,315.48,https://huggingface.co/m3hrdadfi/wav2vec2-large-xlsr-persian-v3,2025-07-09,mehrdad zeroshot model,NVIDIA GeForce RTX 4060 Ti (CUDA 12.8)
hsekhalilian/Speech_To_Text_Finetuning_02,28.31,8.95,7s,hsekhalilian/fleurs validation,369,114.62,https://huggingface.co/hsekhalilian/Speech_To_Text_Finetuning_02,2025-07-23,,NVIDIA GeForce RTX 4090 (CUDA 12.8)
Neurai/NeuraSpeech_900h,28.5,10.44,10s,hsekhalilian/fleurs validation,369,23.76,https://huggingface.co/Neurai/NeuraSpeech_900h,2025-07-09,,NVIDIA GeForce RTX 4060 Ti (CUDA 12.8)
/home/user/.cache/nemo_experiments/Speech_To_Text_Finetuning/2025-07-22_06-58-20/checkpoints/Speech_To_Text_Finetuning.nemo,28.5,8.36,18s,hsekhalilian/fleurs validation,369,114.62,https://huggingface.co//home/user/.cache/nemo_experiments/Speech_To_Text_Finetuning/2025-07-22_06-58-20/checkpoints/Speech_To_Text_Finetuning.nemo,2025-07-22,,NVIDIA GeForce RTX 4090 (CUDA 12.8)
m3hrdadfi/wav2vec2-large-xlsr-persian-v3,28.53,7.12,2m 2s,hsekhalilian/commonvoice dev,5000,315.48,https://huggingface.co/m3hrdadfi/wav2vec2-large-xlsr-persian-v3,2025-07-08,mehrdad zeroshot model,NVIDIA GeForce RTX 4060 Ti (CUDA 12.6)
openai/whisper-large-v3,28.74,6.84,4m 47s,hsekhalilian/fleurs validation,100,1543.49,https://huggingface.co/openai/whisper-large-v3,2025-07-09,,NVIDIA GeForce RTX 4060 Ti (CUDA 12.8)
ghofrani/xls-r-1b-fa-cv8,29.78,8.57,30s,hsekhalilian/fleurs validation,369,315.57,https://huggingface.co/ghofrani/xls-r-1b-fa-cv8,2025-07-09,mehrdad zeroshot model,NVIDIA GeForce RTX 4060 Ti (CUDA 12.8)
jonatasgrosman/wav2vec2-large-xlsr-53-persian,30.04,8.8,30s,hsekhalilian/fleurs validation,369,315.51,https://huggingface.co/jonatasgrosman/wav2vec2-large-xlsr-53-persian,2025-07-09,mehrdad zeroshot model,NVIDIA GeForce RTX 4060 Ti (CUDA 12.8)
alifarokh/nemo-conformer-medium-fa,30.9,9.39,8s,hsekhalilian/commonvoice dev,1000,30.51,https://huggingface.co/alifarokh/nemo-conformer-medium-fa,2025-07-09,,NVIDIA GeForce RTX 4060 Ti (CUDA 12.8)
DataoceanAI/dolphin-small,32.41,17.2,6m 54s,hsekhalilian/fleurs validation,369,372.3,https://huggingface.co/DataoceanAI/dolphin-small,2025-07-12,,NVIDIA GeForce RTX 4060 Ti (CUDA 12.6)
m3hrdadfi/wav2vec2-large-xlsr-persian-v2,33.39,9.86,28.71,hsekhalilian/fleurs validation,369,315.48,https://huggingface.co/m3hrdadfi/wav2vec2-large-xlsr-persian-v2,2025-07-09,mehrdad zeroshot model,NVIDIA GeForce RTX 4060 Ti (CUDA 12.8)
m3hrdadfi/wav2vec2-large-xlsr-persian-shemo,34.56,8.68,27s,hsekhalilian/commonvoice dev,1000,315.48,https://huggingface.co/m3hrdadfi/wav2vec2-large-xlsr-persian-shemo,2025-07-08,mehrdad zeroshot model,NVIDIA GeForce RTX 4060 Ti (CUDA 12.6)
DataoceanAI/dolphin-base,36.36,10.85,26s,hsekhalilian/commonvoice dev,100,140.21,https://huggingface.co/DataoceanAI/dolphin-base,2025-07-12,,NVIDIA GeForce RTX 4060 Ti (CUDA 12.6)
